Current Value of Stock,Expected Value of Stock,Error in expected value of stock,Percentage of portfolio,Percentage of sector,Sector of stock,Buy/Sell/Keep,Positive,Negative,Neutral,Total,Neutral_Pos,Neutral_Neg
964.0,957.55,13.32000000000005,2.4149929144155515,5.338076052636561,IT,Buy,37.0887338,7.577268195,1003,55.33399801,37.0887338,14.26021879
958.0,959.83,13.740000000000009,3.3443127045220975,19.608973100227765,IT,Buy,38.15987934,11.08597285,1326,50.75414781,38.15987934,22.34877364
954.21,975.425,11.870000000000005,2.7262082267429095,13.568787214217954,IT,Buy,36.16858238,10.72796935,1305,53.10344828,36.16858238,19.64146967
970.0,982.61,20.110000000000014,0.5447395839620168,9.648945976580023,IT,Buy,47.9390175,7.227555054,1771,44.83342744,47.9390175,24.41107621
975.64,992.115,11.0,4.69858226803941,6.444095525931351,IT,Buy,34.62804477,11.58657011,1519,53.78538512,34.62804477,19.81813359
993.24,991.935,17.851,2.977933349559523,16.80823902397548,IT,Buy,31.29525342,8.608205953,1243,60.09654063,31.29525342,10.52861392
996.67,993.135,8.80499999999995,0.7088049616563712,13.84558669853573,IT,Buy,33.64413364,6.993006993,1287,59.36285936,33.64413364,9.647096233
991.27,998.8699999999999,16.040000000000077,1.5871271422316027,19.723641762145228,IT,Buy,36.01449275,11.08695652,1380,52.89855072,36.01449275,20.2053544
996.81,1004.97,6.740000000000009,4.1953948135869465,18.49974614355802,IT,Buy,40.16445288,9.044908286,1581,50.79063884,40.16445288,20.27121805
1007.0,1007.3900000000001,8.530000000000086,1.4598913918158545,10.87109558535558,IT,Sell,40.61538462,8.076923077,1300,51.30769231,40.61538462,18.78617937
1008.44,1007.36,7.090000000000032,1.9444586914730029,19.810715550750416,IT,Buy,32.78985507,7.971014493,1104,59.23913043,32.78985507,10.74883266
1005.59,1003.135,25.75999999999999,3.4160103902376093,19.154609593075513,IT,Buy,34.31034483,10.94827586,1160,54.74137931,34.31034483,18.22384515
1009.27,988.3050000000001,10.809999999999945,4.0065490299433275,11.37179102168778,IT,Buy,36.0,10.18181818,1375,53.81818182,36.0,18.38058496
990.0,988.22,12.620000000000005,1.689747659713338,11.476712227909024,IT,Buy,32.90870488,9.624911536,1413,57.46638358,32.90870488,14.17547656
993.53,976.515,24.274999999999977,4.394759047302054,16.79479917163941,IT,Buy,31.81818182,8.8794926,946,59.30232558,31.81818182,11.59411562
986.73,972.45,14.850000000000023,4.597980474167507,17.03825118205808,IT,Buy,32.56150507,12.80752533,1382,54.63096961,32.56150507,20.19350432
969.0,975.4549999999999,18.200000000000045,3.6885706302030905,5.560006963563643,IT,Buy,34.01139138,8.543531326,1229,57.4450773,34.01139138,13.11540263
978.0,976.38,14.350000000000023,0.9648816964373396,11.651638807845647,IT,Buy,33.67071525,12.0782726,1482,54.25101215,33.67071525,19.84420905
980.33,1079.545,55.02999999999997,3.9376994151646634,10.53133314116111,IT,Buy,39.20485919,10.87796797,3622,49.91717283,39.20485919,22.97774374
1058.14,1102.9299999999998,29.230000000000018,3.457802305281368,10.267476185058229,IT,Keep,36.37481554,9.41957698,4066,54.20560748,36.37481554,17.2309181
1095.01,1107.1399999999999,9.420000000000073,3.214310776788475,8.123503738802679,IT,Buy,30.21582734,16.54676259,1390,53.23741007,30.21582734,25.32630112
1109.0,1104.54,12.230000000000018,2.5065725536940335,8.186616222582792,IT,Sell,32.86093888,8.060230292,1129,59.07883082,32.86093888,10.99834807
1105.4,1096.0149999999999,15.070000000000164,1.4569145166614532,8.41598682723913,IT,Buy,32.40223464,12.52992817,1253,55.06783719,32.40223464,19.47903958
1097.81,1101.375,24.160000000000082,3.7470000273615844,11.690877258697997,IT,Buy,36.67883212,8.850364964,1096,54.47080292,36.67883212,16.39651064
1091.15,1114.9050000000002,16.6400000000001,2.4438488837025716,11.410244111982925,IT,Buy,40.57239057,11.44781145,1188,47.97979798,40.57239057,25.48496207
1109.15,1123.955,13.099999999999909,2.2773043480349857,19.64883634002403,IT,Buy,38.04834378,7.341092211,1117,54.61056401,38.04834378,14.7474768
1124.74,1127.545,13.849999999999909,1.4024659617997388,5.856934197297237,IT,Buy,38.97637795,10.23622047,1016,50.78740157,38.97637795,21.4657675
1125.96,1125.725,7.690000000000055,1.1127013077844123,8.516451271771313,IT,Sell,28.59633827,9.677419355,1147,61.72624237,28.59633827,9.968125585
1126.1,1126.085,17.560000000000173,4.734874510441191,5.946937656531228,IT,Buy,37.64961915,10.77257889,919,51.57780196,37.64961915,21.21172553
1123.0,1133.475,14.1099999999999,3.3418384288519776,10.233061081801111,IT,Sell,39.64879852,7.948243993,1082,52.40295749,39.64879852,17.5622351
1130.11,1126.85,10.11999999999989,3.3338559853781127,12.198230143712479,IT,Buy,37.57575758,7.196969697,1320,55.22727273,37.57575758,13.98664557
1127.01,1133.725,8.110000000000127,4.642757424889235,16.64133387590028,IT,Buy,49.22349764,9.047940581,1481,41.72856178,49.22349764,29.3363274
1130.16,1134.08,12.990000000000009,4.798279949007348,13.960344807492994,IT,Buy,34.95883471,7.663077897,1579,57.3780874,34.95883471,12.3019391
1138.28,1128.04,10.870000000000118,2.4720770298706025,9.064936473334818,IT,Buy,41.15555556,12.17777778,1125,46.66666667,41.15555556,27.52805971
1129.77,1136.175,11.799999999999955,1.7401618650835862,8.516679560061796,IT,Buy,32.51028807,9.053497942,243,58.43621399,32.51028807,12.63423255
1132.86,1148.58,19.269999999999982,1.4019594420017916,17.34442178621403,IT,Buy,37.02848345,10.23864511,1299,52.73287144,37.02848345,19.52272227
1141.0,1173.35,26.139999999999873,3.4330159489718732,19.192888017445,IT,Buy,30.84648494,8.823529412,1394,60.32998565,30.84648494,10.51049236
1160.7,1199.245,22.25999999999999,4.352047893570437,5.610355592655106,IT,Buy,45.44568924,17.04822211,2053,37.50608865,45.44568924,41.55908206
1202.66,1199.24,16.819999999999936,2.514993307301678,6.855937640577916,IT,Buy,35.19337017,11.71270718,1810,53.09392265,35.19337017,20.63573313
1204.88,1178.0349999999999,49.6099999999999,0.6421588916994603,12.286260958043878,IT,Buy,41.24137931,11.37931034,1450,47.37931034,41.24137931,26.0169486
1194.8,1171.925,18.569999999999936,1.999517146034418,5.6430107615286955,IT,Buy,44.53618261,11.1704711,2059,44.29334628,44.53618261,28.89407342
1167.1,1167.1999999999998,27.65000000000009,2.9174822016651527,18.6782888175699,IT,Buy,34.74952441,11.85795815,1577,53.39251744,34.74952441,20.48238931
1172.05,1153.9,47.200000000000045,1.4038790207556981,14.587809904847202,IT,Buy,37.7254902,12.39215686,1275,49.88235294,37.7254902,24.52675252
1173.85,1134.915,34.52999999999997,2.9106189152936803,13.854807169541068,IT,Buy,29.93680885,15.79778831,3798,54.26540284,29.93680885,23.54933407
1128.26,1145.17,19.810000000000173,2.891868768373898,14.03868062812458,IT,Sell,35.41076487,10.19830028,4236,54.39093484,35.41076487,17.82431404
1137.99,1158.19,12.190000000000055,4.777573001921548,15.404422860871554,IT,Buy,47.38834217,6.737320212,3963,45.87433762,47.38834217,22.87993119
1156.59,1166.2,15.690000000000055,3.2069443463626204,8.76407691967553,IT,Buy,40.625,6.332236842,3648,53.04276316,40.625,15.30642228
1170.4,1166.76,12.900000000000091,2.7386500608360604,9.971196488852268,IT,Buy,36.0,5.826086957,3450,58.17391304,36.0,9.669122517
1164.6,1165.795,11.990000000000009,2.9246983805980333,11.221802064575265,IT,Buy,40.32258065,7.917888563,2046,51.75953079,40.32258065,18.17530637
1166.51,1167.065,10.599999999999909,1.2912656993204938,5.6477817073617045,IT,Buy,42.45901639,10.0,610,47.54098361,42.45901639,24.47596499
1170.0,1168.9850000000001,15.480000000000018,3.7557643698577654,5.627874835772037,IT,Buy,40.4494382,2.247191011,89,57.30337079,40.4494382,6.960768821
1163.71,1179.085,13.420000000000073,0.9077908976845304,11.436353852771688,IT,Buy,40.52111411,9.164420485,1113,50.31446541,40.52111411,20.86690368
1179.03,1188.975,13.86999999999989,3.83692026121059,5.203995961127573,IT,Buy,44.00826446,8.987603306,968,47.00413223,44.00826446,24.00041968
1187.37,1188.265,13.829999999999927,2.4652055472324452,16.599115532239296,IT,Buy,37.2651357,7.306889353,958,55.42797495,37.2651357,13.895863
1189.15,1184.06,15.0,1.1764673041627849,17.99694548014301,IT,Buy,43.71316306,8.251473477,1018,48.03536346,43.71316306,22.23305862
1190.5,1175.33,11.529999999999973,1.894823761328007,13.016138734569852,IT,Buy,44.80746791,4.667444574,857,50.52508751,44.80746791,16.15930566
1175.9,1170.2199999999998,6.789999999999964,4.89431618087496,15.532173363463523,IT,Buy,42.85714286,1.428571429,70,55.71428571,42.85714286,7.731234319
1172.08,1172.56,17.769999999999982,4.3863123435645,5.629953426226824,IT,Keep,35.11530398,11.32075472,954,53.5639413,35.11530398,19.77376202
1168.36,1181.085,11.680000000000064,2.326930962375755,11.561075797848893,IT,Buy,44.63028169,5.105633803,1136,50.26408451,44.63028169,16.85849789
1179.91,1187.55,5.7199999999998,2.532833781855225,5.3822100783504885,IT,Buy,43.92624729,5.965292842,922,50.10845987,43.92624729,17.87378157
1189.0,1175.9099999999999,16.5,2.765230307710053,9.986235677366572,IT,Buy,35.53875236,15.78449905,1058,48.67674858,35.53875236,29.12469907
1182.35,1180.505,19.49000000000001,4.946835373846089,11.481640836413884,IT,Buy,39.04109589,13.78424658,1168,47.17465753,39.04109589,28.62653765
1172.0,1196.25,17.190000000000055,4.214455673604874,10.409726729831796,IT,Buy,34.09090909,11.62587413,1144,54.28321678,34.09090909,19.35960595
1188.3,1207.295,11.209999999999809,3.8762187115733435,14.9200903259614,IT,Buy,33.3012512,8.277189605,1039,58.42155919,33.3012512,11.87257902
1205.0,1223.325,19.1400000000001,4.014090330810578,9.070683121874712,IT,Buy,35.17635844,9.342230696,1049,55.48141087,35.17635844,15.87776843
1217.51,1241.435,21.049999999999955,1.2559556530532663,17.10160651281337,IT,Keep,52.54403131,6.653620352,1022,40.80234834,52.54403131,27.86822061
1236.0,1254.8000000000002,17.569999999999936,3.5637205768202462,7.8209902330837915,IT,Buy,43.75523889,6.370494552,1193,49.87426655,43.75523889,18.5131766
1256.9,1249.74,17.09999999999991,4.9748069229946905,9.56192185034828,IT,Buy,42.33278956,4.730831974,1226,52.93637847,42.33278956,13.8114021
1245.15,1268.21,20.309999999999945,2.6475603096550717,11.25772740339236,IT,Buy,37.72775991,9.860664523,933,52.41157556,37.72775991,19.46603756
1259.74,1289.295,32.36999999999989,3.894301028105342,16.68486020300771,IT,Buy,41.53577661,5.846422339,1146,52.61780105,41.53577661,15.24556989
1273.39,1313.9299999999998,47.6400000000001,4.338891614747519,15.168471889535935,IT,Buy,40.64777328,7.449392713,1235,51.90283401,40.64777328,17.5635073
1323.0,1303.62,33.11999999999989,4.633790533501409,12.556053350369634,IT,Buy,36.76333022,8.606173994,1069,54.63049579,36.76333022,15.9926268
1312.24,1293.635,20.579999999999927,3.291382057929477,6.848940770268793,IT,Buy,46.68094218,7.708779443,934,45.61027837,46.68094218,24.11544967
1293.95,1303.29,20.00999999999999,4.580956868354707,12.006474341651304,IT,Buy,42.6152948,10.39112668,1713,46.99357852,42.6152948,25.41449676
1312.0,1312.24,30.789999999999964,1.2841763994556388,11.478543109642938,IT,Sell,32.84671533,8.102189781,1370,59.05109489,32.84671533,11.06804349
1297.17,1350.315,27.560000000000173,0.775651986169162,7.946481914419049,IT,Buy,37.79803647,7.082748948,1426,55.11921459,37.79803647,13.98048296
1338.09,1366.165,50.16000000000008,3.0176033740400134,6.267637015969186,IT,Buy,37.04,10.08,1250,52.88,37.04,19.2169486
1374.82,1372.975,20.720000000000027,3.5051240125106142,15.91048842049967,IT,Buy,32.70868825,9.199318569,1174,58.09199319,32.70868825,13.12427398
1368.0,1397.03,21.61999999999989,1.000420640473188,5.772746130796655,IT,Buy,16.4960182,3.905953735,2637,79.59802806,34.07709766,3.905953735
1392.01,1413.43,30.950000000000045,3.680537054110991,13.810615765897584,IT,Buy,10.30356747,3.168623975,4513,86.52780855,34.81442742,3.168623975
1409.18,1420.495,47.25,4.927110043391149,14.083857567978045,IT,Buy,35.37214444,8.474576271,1357,56.15327929,35.37214444,14.33824558
1403.17,1451.475,22.539999999999964,2.271413700416474,14.817996565963943,IT,Buy,36.61248931,11.33447391,2338,52.05303678,36.61248931,21.29838573
1451.3,1417.5,74.74000000000001,3.8451697314266036,18.92264147438045,IT,Buy,32.62135922,7.912621359,2060,59.46601942,32.62135922,10.46355054
1445.0,1454.1950000000002,84.0,4.233689190094481,11.878466464237746,IT,Buy,36.01127555,12.79069767,2838,51.19802678,36.01127555,23.60961949
1477.39,1399.62,138.26,4.136868168380831,11.90267566927292,IT,Sell,38.94823336,10.7641742,2434,50.28759244,38.94823336,22.49353036
1402.62,1402.15,92.20000000000005,4.173366270408678,14.200366286180635,IT,Buy,36.95797198,12.6084056,1499,50.43362241,36.95797198,24.19173179
1361.46,1432.8899999999999,45.83999999999992,4.126997488387733,5.433950097368089,IT,Buy,39.39114391,8.763837638,1084,51.84501845,39.39114391,18.93576779
1449.0,1390.0700000000002,83.80999999999995,3.363443589435336,16.960960165794727,IT,Buy,38.06818182,9.185606061,1056,52.74621212,38.06818182,18.45634254
1429.67,1356.24,117.56999999999994,4.859261220501673,17.451870031494952,IT,Buy,48.22373394,9.750566893,1323,42.02569917,48.22373394,29.74181632
1373.49,1375.45,49.799999999999955,2.282396372239271,14.061901079692234,IT,Buy,38.74471937,8.811104406,1657,52.44417622,38.74471937,18.38387679
1364.67,1400.22,36.190000000000055,3.142274342160001,6.274192685824702,IT,Buy,40.472879,11.89151599,1438,47.63560501,40.472879,26.27285958
1385.93,1428.65,48.700000000000045,4.371967957797029,5.0635829038938445,IT,Buy,40.25423729,7.627118644,1416,52.11864407,40.25423729,17.52542317
1406.25,1464.325,32.100000000000136,4.072191322850343,15.55724750847383,IT,Buy,38.92068684,8.99427637,1223,52.08503679,38.92068684,18.92618818
1466.89,1453.03,19.24000000000001,1.4498877394247658,18.293937558612022,IT,Buy,43.03482587,10.61359867,1206,46.35157546,43.03482587,26.27897181
1457.37,1457.42,42.27999999999997,1.4325938973787067,8.986183697402517,IT,Buy,35.70658037,12.29773463,927,51.99568501,35.70658037,22.31899822
1446.49,1483.96,24.569999999999936,0.843127541506358,18.88521823805763,IT,Buy,37.79193206,10.40339703,1413,51.80467091,37.79193206,20.61567472
1485.0,1490.06,26.779999999999973,2.3309482950745535,16.482583759659875,IT,Buy,39.94029851,8.597014925,1675,51.46268657,39.94029851,19.15127696
1495.36,1497.67,13.5,1.6738105080692796,15.703537384649604,IT,Buy,41.75217048,9.471191792,1267,48.77663773,41.75217048,22.71150266
1495.34,1515.575,15.839999999999918,1.3423402967814537,6.614960355577697,IT,Buy,40.37433155,9.803921569,1122,49.82174688,40.37433155,21.99912329
1509.2,1518.24,19.569999999999936,4.656247838707305,15.31922970105585,IT,Buy,37.60330579,9.917355372,1210,52.47933884,37.60330579,19.45496513
1524.5,1515.98,16.700000000000045,1.1449730666828133,18.447529558408668,IT,Buy,39.92094862,10.67193676,1265,49.40711462,39.92094862,23.28177074
1519.51,1503.525,53.49000000000001,4.058061094595912,15.509170560577047,IT,Buy,40.53133515,10.626703,1468,48.84196185,40.53133515,23.80168975
1513.6,1484.675,46.039999999999964,4.874652191636439,9.207050937754692,IT,Buy,36.69491525,14.83050847,1180,48.47457627,36.69491525,28.3728808
1469.1,1508.925,44.38000000000011,3.2368277091870254,18.320583686790194,IT,Buy,37.31942215,10.11235955,1246,52.5682183,37.31942215,19.56108985
1494.24,1535.42,14.13000000000011,0.813738019780728,7.882730931908993,IT,Buy,38.27418232,7.79401531,1437,53.93180237,38.27418232,15.87916154
1533.2,1535.76,23.3900000000001,1.8557233049330384,10.360956711930935,IT,Buy,45.23460411,6.818181818,1364,47.94721408,45.23460411,20.88791634
1526.52,1550.9299999999998,9.63000000000011,2.283876452265629,10.6018638669551,IT,Buy,38.16725979,9.786476868,1124,52.04626335,38.16725979,19.75716212
