Current Value of Stock,Expected Value of Stock,Error in expected value of stock,Percentage of portfolio,Percentage of sector,Sector of stock,Buy/Sell/Keep,Positive,Negative,Neutral,Total,Neutral_Pos,Neutral_Neg
154.26,154.245,1.1800000000000068,4.767951689032581,13.976924162773905,IT,Buy,23.96030246,7.325141777,2116,68.71455577,41.83668863,7.325141777
154.01,153.54039999999998,1.4000000000000057,3.2841775205322445,5.261122200817606,IT,Buy,37.55458515,7.336244541,1145,55.10917031,41.82558586,7.336244541
153.63,154.785,1.3899999999999864,3.001754934827865,5.679791116912017,IT,Buy,41.13883557,11.83621241,1563,47.02495202,41.13883557,15.64943
154.18,155.135,0.9300000000000068,2.9224070377619995,11.303219095653603,IT,Buy,39.03884134,5.924950625,1519,55.03620803,43.23687976,5.924950625
154.97,155.825,1.2449999999999761,2.485420644059748,13.205698011105673,IT,Buy,49.42648592,7.40354536,959,43.16996872,49.42648592,15.07174625
155.81,155.97750000000002,2.9000000000000057,3.0849918246705403,9.030245903165167,IT,Buy,33.55102041,7.673469388,1225,58.7755102,41.48836101,7.673469388
156.055,156.26,1.2299999999999898,3.946756741259174,11.554338015164562,IT,Buy,36.69432036,7.913209955,1567,55.39246969,41.24862044,7.913209955
155.97,156.175,1.640100000000018,4.096097415038333,10.918960942781581,IT,Buy,37.94604003,10.53089643,1149,51.52306353,38.63093395,10.53089643
156.35,156.86,0.8700000000000045,0.8215843991595521,7.108017787830215,IT,Buy,46.09306409,6.409130817,1139,47.49780509,46.09306409,9.749495332
156.73,158.89,2.3499999999999943,3.586849520970224,18.120952098128228,IT,Buy,41.08251996,7.098491571,1127,51.81898846,42.06333881,7.098491571
157.9,160.125,1.6400000000000148,1.365086224951772,9.75403241113477,IT,Buy,34.48275862,6.494252874,1740,59.02298851,42.66757752,6.494252874
159.78,160.08999999999997,1.1100000000000136,1.169430337668212,7.951862340071866,IT,Buy,41.27594158,8.301306687,1301,50.42275173,41.27594158,8.716724562
160.42,156.365,2.0600000000000023,4.951943402235808,18.76004408413702,IT,Buy,42.29217111,7.667473769,1239,50.04035513,42.29217111,8.465288244
156.75,156.385,1.789999999999992,1.314404118153318,14.404844735141666,IT,Buy,35.36697248,21.33027523,2180,43.30275229,35.36697248,28.86569255
156.61,156.52999999999997,2.1899999999999977,0.9010133980677884,16.785073256008438,IT,Buy,40.23715415,9.644268775,1265,50.11857708,40.23715415,10.3638613
156.89,156.695,1.2199999999999989,3.9866575593265,8.986716746481852,IT,Buy,38.69426752,10.11146497,1256,51.19426752,39.05036543,10.11146497
156.29,156.6575,2.280000000000001,4.516659536468128,16.41896536294505,IT,Buy,47.01030928,8.109965636,1455,44.87972509,47.01030928,14.06841015
156.91,157.32,1.0494999999999948,3.6776263213966427,7.85486665808597,IT,Buy,34.50244698,10.03262643,1226,55.46492659,39.12920396,10.03262643
157.23,161.17000000000002,4.900000000000006,2.0459080041900455,10.155773220064411,IT,Buy,37.55868545,7.699530516,1065,54.74178404,41.46229988,7.699530516
159.29,165.305,4.349999999999994,1.8673335611660045,7.476027276379564,IT,Buy,36.2654321,9.465020576,1944,54.26954733,39.69680982,9.465020576
163.89,168.47,2.7099000000000046,2.7939277237721885,19.544583045708723,IT,Buy,39.21015515,9.543958627,2127,51.24588622,39.61787177,9.543958627
167.9,168.38,4.329999999999984,3.5826713471943723,6.686067308613943,IT,Buy,36.70505759,8.512769154,1997,54.78217326,40.64906125,8.512769154
