Current Value of Stock,Expected Value of Stock,Error in expected value of stock,Percentage of portfolio,Percentage of sector,Sector of stock,Buy/Sell/Keep,Positive,Negative,Neutral,Total,Neutral_Pos,Neutral_Neg
33.61,33.785,0.28999999999999915,4.438661814314532,14.450042712411465,IT,Sell,39.7260274,9.589041096,73,50.68493151,39.7260274,15.48744292
33.72,33.485,0.2700000000000031,2.413841079968135,9.387280860549879,IT,Sell,28.0,10.0,100,62.0,33.41666667,10.0
33.53,33.585,0.2600000000000051,1.1084642290529763,8.736497609619533,IT,Buy,43.22033898,5.084745763,118,51.69491525,43.22033898,9.973163848
33.58,33.7,0.2552999999999983,2.9460631561277015,12.927764555464009,IT,Sell,37.66233766,7.792207792,77,54.54545455,37.66233766,9.830086577
33.65,33.765,0.28000000000000114,2.070309429796563,11.122733374147545,IT,Sell,38.15789474,5.263157895,76,56.57894737,38.15789474,5.26754386
33.77,33.715,0.4399999999999977,4.336703956043566,18.56471154200218,IT,Sell,31.25,3.75,80,65.0,39.66666667,3.75
33.88,33.485,0.38000000000000256,0.69937185511353,15.084226747864019,IT,Sell,32.22222222,11.11111111,90,56.66666667,32.30555556,11.11111111
33.38,33.26,0.28999999999999915,1.259888067492042,15.074327933535846,IT,Sell,43.5483871,3.225806452,62,53.22580645,43.5483871,6.583333337
33.26,33.435,0.2469999999999999,3.0029596521472395,11.720846077079646,IT,Sell,33.33333333,10.47619048,105,56.19047619,33.33333333,10.86904763
33.4,33.57,0.1700000000000017,4.209147988695285,18.04505170851229,IT,Sell,28.75,3.75,80,67.5,39.66666667,3.75
33.6,33.595,0.21000000000000085,4.299113446324494,12.779126269564227,IT,Sell,45.78313253,4.819277108,83,49.39759036,45.78313253,12.00502008
33.59,33.635,0.3100000000000023,2.866619422476481,16.816853646917412,IT,Buy,39.37007874,3.937007874,127,56.69291339,39.4796588,3.937007874
33.72,33.629999999999995,0.4399999999999977,3.092864120876681,9.748764885895143,IT,Sell,36.26373626,13.18681319,91,50.54945055,36.26373626,19.22069597
33.51,34.135000000000005,0.38000000000000256,1.8975293752411686,18.06864766570773,IT,Keep,28.57142857,5.194805195,77,66.23376623,38.22186147,5.194805195
