Current Value of Stock,Expected Value of Stock,Error in expected value of stock,Percentage of portfolio,Percentage of sector,Sector of stock,Buy/Sell/Keep,Positive,Negative,Neutral,Total,Neutral_Pos,Neutral_Neg
145.35,146.735,0.8599000000000103,2.165968960803902,17.638060102646037,IT,Buy,28.51010101,6.388888889,3960,65.1010101,30.67050308,6.388888889
146.69,146.74,0.9099999999999966,3.1116761397924995,16.29736484911973,IT,Buy,29.10294453,6.459712394,4381,64.43734307,30.59967957,6.459712394
147.0,146.7,1.0600000000000023,4.880679760191867,10.469042717415224,IT,Buy,29.58899338,10.46673633,5742,59.94427029,29.58899338,13.46307407
146.68,146.56,0.5300000000000011,2.4702094070360907,5.033664608027523,IT,Buy,27.91912767,5.043162199,4402,67.03771013,32.01622977,5.043162199
146.64,146.945,1.4399999999999977,1.1180755633260473,11.669630520933115,IT,Buy,24.80620155,9.689922481,3612,65.50387597,27.36946949,9.689922481
146.5,148.10500000000002,1.299999999999983,4.578899572210645,10.068649899974304,IT,Buy,23.72479241,6.524317912,843,69.75088968,30.53507406,6.524317912
147.71,148.01,1.1899999999999977,0.9262355690515774,8.495194288894252,IT,Buy,26.76136364,5.965909091,5280,67.27272727,31.09348289,5.965909091
148.4,147.29500000000002,1.1199999999999761,2.601089635543979,9.219287202099427,IT,Buy,27.14661984,4.846356453,5695,68.00702371,32.21303552,4.846356453
147.56,147.29,0.9099999999999966,4.863939626093569,5.3229839597990605,IT,Buy,24.14778137,4.70386593,5251,71.14835269,32.35552604,4.70386593
147.48,147.025,1.1599999999999966,1.4116298256457316,5.274310159729589,IT,Sell,21.18728266,4.719324391,4026,74.09339295,32.34006758,4.719324391
147.22,146.58499999999998,0.9399999999999977,4.557879599935484,19.903068894537668,IT,Buy,34.67700916,6.815869786,7864,58.50712106,34.67700916,11.24935675
146.63,158.325,4.280000000000001,3.5744519888565627,17.954098024417075,IT,Buy,26.21448213,6.088778316,7637,67.69673956,30.97061366,6.088778316
157.12,160.35000000000002,1.875,1.2735771130791416,18.060951957863438,IT,Buy,31.41019297,5.452746165,10105,63.13706086,31.6066458,5.452746165
159.8,161.57,2.7099999999999795,4.296763258190246,5.617699513677393,IT,Buy,33.75808665,6.155655754,5101,60.0862576,33.75808665,9.010006179
161.07,160.8,2.969999999999999,1.5382148649860825,6.991167086385911,IT,Buy,25.53527158,4.958305161,4437,69.50642326,32.10108682,4.958305161
162.05,157.765,4.528999999999996,4.70993413505426,7.382076110756081,IT,Buy,26.82555781,7.986815416,3944,65.18762677,29.07257655,7.986815416
159.65,154.755,3.3100000000000023,1.0343332183158962,18.8910393206101,IT,Buy,25.28712472,7.696957485,4963,67.01591779,29.36243449,7.696957485
156.01,153.95499999999998,1.5800000000000125,1.458030200991312,6.538032317734741,IT,Buy,34.38039351,5.557473248,5794,60.06213324,34.38039351,8.435948033
154.31,154.11,1.718999999999994,2.765673685379609,6.570969851562632,IT,Buy,24.36762226,5.851602024,5930,69.78077572,31.20778995,5.851602024
154.54,154.06,1.8799999999999955,0.613478359562202,19.700554003851316,IT,Buy,28.3126294,7.919254658,3864,63.76811594,29.14013731,7.919254658
153.76,154.195,2.0,3.1464245847025145,8.684182755575172,IT,Buy,25.23913043,5.652173913,4600,69.10869565,31.40721805,5.652173913
154.33,154.065,1.0699999999999932,3.8951586629812653,18.62263948591309,IT,Buy,24.37933348,10.19906061,4471,65.4216059,26.86033136,10.19906061
154.1,153.765,1.5800000000000125,4.951446062153272,11.209708958313424,IT,Buy,29.77416441,9.82836495,5535,60.39747064,29.77416441,12.37150234
154.18,152.5,1.9799999999999898,2.9690575287714287,15.953009756658995,IT,Buy,26.54081066,7.903016842,5403,65.5561725,29.15637514,7.903016842
153.42,151.305,1.539999999999992,4.566371261610663,18.005106296493434,IT,Buy,25.60053381,9.319395018,4496,65.08007117,27.73999695,9.319395018
151.77,151.36,1.009999999999991,1.2634523429139453,11.667910927310464,IT,Buy,29.12775681,4.212199483,5033,66.66004371,32.84719249,4.212199483
151.37,150.115,1.9399999999999977,3.86778386692131,14.604016486593672,IT,Buy,29.21143991,3.769218053,6049,67.01934204,33.29017392,3.769218053
149.93,149.905,1.75,3.1113080803559856,7.730780866597695,IT,Buy,37.25978648,5.889679715,5620,56.85053381,37.25978648,11.97975393
150.65,148.64,1.0800000000000125,2.642217517331435,14.027556447270891,IT,Buy,31.25737511,4.706962108,7627,64.03566278,32.35242986,4.706962108
148.88,148.42,1.4799999999999898,0.929149150572369,5.792110230287792,IT,Buy,37.22273264,4.239401496,7619,58.53786586,37.22273264,8.642143661
147.95,147.55,2.4939999999999998,0.8592488818052336,9.543099573391807,IT,Buy,31.23995911,6.937344823,6847,61.82269607,31.23995911,8.055256778
148.0,148.425,2.1500000000000057,4.7557381271567625,9.973554315563717,IT,Buy,30.28742316,5.08390098,6019,64.62867586,31.97549099,5.08390098
147.73,149.155,1.3199999999999932,3.21740582920483,18.140771575162606,IT,Buy,29.51394179,13.19518513,6563,57.29087308,29.51394179,18.84492008
149.34,150.575,2.049999999999983,2.348891648628367,17.830666077286246,IT,Buy,32.38812583,6.025697829,4514,61.58617634,32.38812583,7.380129514
150.64,151.625,1.25,4.4398596089964695,14.916753409551566,IT,Buy,29.93772242,6.939501779,4496,63.1227758,30.11989019,6.939501779
151.3,151.885,1.0599999999999739,1.2413466021475097,9.683332918487519,IT,Buy,26.61338661,12.40759241,5005,60.97902098,26.61338661,14.36917946
152.0,151.89499999999998,0.8699999999999761,3.779844326232916,13.318998548760828,IT,Buy,26.28629648,7.488537952,3926,66.22516556,29.57085401,7.488537952
151.95,152.01999999999998,0.8700000000000045,0.823975223940185,13.180262709051815,IT,Keep,27.28691851,6.525132688,3203,66.1879488,30.53425928,6.525132688
152.06,152.41,1.2300000000000182,3.431716616132999,10.826865231360484,IT,Sell,30.94536386,6.823849467,4411,62.23078667,30.94536386,7.533670822
152.35,153.18,1.4400000000000261,4.716593009332749,11.031148171078826,IT,Buy,35.45700604,5.538205288,4803,59.00478867,35.45700604,9.474024643
152.81,153.81,1.329999999999984,2.353912326339902,8.554512837023275,IT,Buy,31.22797506,5.963675793,3689,62.80834915,31.22797506,6.095934668
153.65,154.57999999999998,2.107500000000016,1.8476147502262847,5.764091976348931,IT,Buy,25.55555556,4.12037037,2160,70.32407407,32.9390216,4.12037037
154.4,156.065,1.7300000000000182,0.7598497233533326,12.953495665728965,IT,Buy,28.39050132,5.910290237,3790,65.69920844,31.14910174,5.910290237
155.67,155.89999999999998,2.0600000000000023,1.0464138759758324,13.146921423783873,IT,Buy,26.40586797,5.965770171,4090,67.62836186,31.0936218,5.965770171
156.45,154.89499999999998,2.1299999999999955,2.9792919591372877,15.647117036921713,IT,Buy,35.86805556,6.840277778,5760,57.29166667,35.86805556,12.48921913
155.69,153.8,1.1899999999999977,4.00725219528527,5.188654228973537,IT,Buy,29.22701383,6.23270952,6145,64.54027665,30.82668245,6.23270952
154.03,154.375,1.4799999999999898,1.6658329318231,5.680471993992998,IT,Buy,27.79951556,4.937581517,5367,67.26290293,32.12181046,4.937581517
153.94,155.19,1.3199999999999932,3.2586634348056815,18.97924915484989,IT,Buy,25.29427868,4.489460717,3653,70.21626061,32.56993127,4.489460717
154.97,155.97,2.6899999999999977,4.0082445261318576,9.317732222330909,IT,Buy,28.02119421,6.928877114,4907,65.04992867,30.13051485,6.928877114
155.2,155.255,2.8400000000000034,4.344733371326585,13.73482489588573,IT,Buy,33.51978455,5.489952351,4827,60.9902631,33.51978455,7.440297276
156.6,154.25,1.410000000000025,0.6863535718060757,19.496280984924077,IT,Sell,35.00904886,4.524431932,4973,60.4665192,35.00904886,6.998520757
154.5,153.125,1.7700000000000102,4.444643832756042,8.955044023173775,IT,Buy,25.53819444,4.618055556,5760,69.84375,32.44133641,4.618055556
153.75,153.37,0.9699999999999989,4.952010794538716,14.3534159718544,IT,Buy,26.07305936,5.0,4380,68.92694064,32.05939198,5.0
153.41,153.6825,1.079999999999984,4.571532142448454,8.687255132223607,IT,Buy,20.52580331,4.381694255,5135,75.09250243,32.67769771,4.381694255
154.135,153.3,1.1099999999999852,0.6830102791208887,12.065429450726882,IT,Buy,27.77260019,5.987884436,4292,66.23951538,31.07150754,5.987884436
153.65,152.33499999999998,1.9699999999999989,4.454767389710774,19.86425471002829,IT,Buy,30.58886224,8.95283773,3753,60.45830003,30.58886224,11.43514573
153.17,152.10500000000002,1.5,0.7537889362662409,10.92072519809733,IT,Buy,30.98375728,7.753600981,3263,61.26264174,30.98375728,9.431567266
151.71,152.67000000000002,1.3600000000000136,3.368417529321969,16.190019536621556,IT,Buy,31.97628458,7.747035573,2530,60.27667984,31.97628458,10.41096376
152.51,153.04,0.5699999999999932,3.876361338136161,15.628353395349492,IT,Buy,40.93416697,6.178742185,2719,52.88709084,40.93416697,16.23225937
152.95,153.62,0.9200000000000159,2.7297069386680066,13.522463032083898,IT,Buy,33.28125,6.6796875,2560,60.0390625,33.28125,9.581233025
153.2,153.795,1.3050000000000068,2.04559421090337,17.980555694602497,IT,Buy,30.87304935,6.874736398,2371,62.25221426,30.87304935,7.563130163
154.17,154.375,1.2700000000000102,1.6238805684996456,11.281961179377156,IT,Buy,36.56626506,5.060240964,1660,58.37349398,36.56626506,9.627355009
154.5,157.91500000000002,3.4799999999999898,3.2419611832632733,17.282774711745,IT,Buy,36.56626506,5.060240964,1660,58.37349398,36.56626506,9.627355009
157.34,160.675,2.9536999999999978,3.449480539967481,10.606500621063773,IT,Buy,36.0,7.428571429,175,56.57142857,36.0,13.79775088
159.65,162.465,1.7990000000000066,3.31131216668739,10.543385144449648,IT,Buy,32.64027343,5.582455141,3511,61.77727143,32.64027343,6.745791736
162.44,163.065,2.2040000000000077,3.1663900952685506,5.582586370386192,IT,Buy,31.25770654,6.041923551,3244,62.70036991,31.25770654,6.282161666
162.66,163.865,1.4699999999999989,3.6451662776628275,16.908619462167323,IT,Sell,35.92258749,10.04772004,3772,54.02969247,35.92258749,18.9586356
163.9,163.54500000000002,1.8300000000000125,0.6769411946619974,15.45195855095464,IT,Buy,34.63203463,8.354978355,4620,57.01298701,34.63203463,14.28259937
162.91,164.5,1.6399999999999864,1.5432031139972757,13.790855710753753,IT,Buy,31.99530516,7.136150235,4260,60.8685446,31.99530516,9.20821366
164.8,163.57999999999998,1.710000000000008,2.040431034439945,18.58169678268203,IT,Buy,29.18280008,7.153046668,4907,63.66415325,29.9063453,7.153046668
164.02,164.475,1.9399999999999977,1.672963348430999,18.78298080179001,IT,Sell,31.37865007,9.717568214,4178,58.90378171,31.37865007,13.75439453
165.1,168.32999999999998,1.865300000000019,1.0026493768372786,17.06154820175151,IT,Buy,30.86003373,5.311973019,7116,63.82799325,31.74741895,5.311973019
168.01,169.56,2.9799999999999898,3.8064314053942443,18.61006419439807,IT,Buy,29.06718078,5.739285185,6743,65.19353404,31.3201068,5.739285185
170.0,163.41500000000002,4.099999999999994,4.4340626903015385,18.799042424279172,IT,Sell,32.37853032,5.715433008,7471,61.90603668,32.37853032,6.750004353
164.46,162.055,2.869999999999976,0.7513778202991208,14.288145206082897,IT,Buy,30.52862058,8.898967782,6394,60.57241164,30.52862058,11.26716417
161.51,164.535,3.75,1.248815049435361,17.400706964034057,IT,Buy,25.01647266,7.533494399,4553,67.45003295,29.52589758,7.533494399
162.82,166.06,3.9000000000000057,3.214115942589084,17.424093023931956,IT,Buy,28.33081408,8.767004967,4631,62.90218095,28.33081408,8.805432042
166.75,165.69,1.5900000000000034,1.404716242760218,17.60364040527594,IT,Buy,27.55709077,8.366916139,5211,64.07599309,28.69247583,8.366916139
165.91,166.73000000000002,1.6242000000000019,2.3367902852725626,18.006412370505238,IT,Buy,26.69262384,6.532554618,4623,66.77482154,30.52683736,6.532554618
166.12,167.125,2.3799999999999955,2.5489662535555873,17.710161614969447,IT,Buy,30.73852295,9.210151126,3507,60.05132592,30.73852295,12.09943323
167.45,164.91500000000002,3.615000000000009,4.28630880014097,7.003402811594219,IT,Buy,27.4524339,8.574252533,4047,63.97331357,28.48513944,8.574252533
166.21,163.725,2.2290000000000134,2.668017919223333,19.733618075497418,IT,Buy,30.8329152,6.47265429,3986,62.69443051,30.8329152,6.718831805
163.75,162.79500000000002,2.2299999999999898,1.6290687603683829,7.283900604678177,IT,Buy,29.96890696,6.290361158,4181,63.74073188,30.76903081,6.290361158
163.19,160.365,3.1337000000000046,2.251597316970605,19.230499600392623,IT,Buy,30.13550136,8.265582656,3690,61.59891599,30.13550136,9.607274691
161.7,155.20999999999998,8.5,3.4652013562052595,7.915835876126798,IT,Buy,29.406037,8.373904576,3081,62.22005842,29.406037,9.094454181
157.89,152.815,6.3799999999999955,2.968881023043149,12.43689485864829,IT,Buy,30.28874484,9.781968179,3394,59.92928698,30.28874484,12.79328922
150.29,154.01,2.0600000000000023,4.267442274471806,16.262707284830242,IT,Keep,31.82377554,15.08737386,4063,53.0888506,31.82377554,24.93913128
154.17,150.035,5.659999999999997,4.49560425934677,9.81365228445613,IT,Buy,30.26209133,8.78141043,3701,60.95649824,30.26209133,10.76552022
152.48,149.055,6.144499999999994,4.598596506364219,15.455713966617797,IT,Buy,31.28029655,7.927003137,3507,60.79270031,31.28029655,10.07491085
148.6,151.15,2.0999999999999943,2.0271613665420904,16.710199101839823,IT,Buy,31.44560358,7.570789866,3355,60.98360656,31.44560358,9.527791331
150.9,150.825,1.5390000000000157,1.5163398456256767,16.92679925090875,IT,Buy,31.60223568,5.496040987,4294,62.90172333,31.60223568,5.534925682
150.9,152.475,5.0,3.343323393368089,16.852285969177963,IT,Buy,36.39227215,5.648887022,4762,57.95884082,36.39227215,10.63065423
150.19,155.755,3.160000000000025,2.0263823998843202,6.08098544205287,IT,Buy,34.78714524,10.10016694,4792,55.11268781,34.78714524,17.92808716
155.5,155.945,2.100500000000011,0.9756427500079903,14.199450386534949,IT,Buy,35.11316194,12.89826412,4551,51.98857394,35.11316194,23.85029821
