Current Value of Stock,Expected Value of Stock,Error in expected value of stock,Percentage of portfolio,Percentage of sector,Sector of stock,Buy/Sell/Keep,Positive,Negative,Neutral,Total,Neutral_Pos,Neutral_Neg
130.16,131.875,1.039999999999992,2.6952172149770606,6.758689152614554,Health,Buy,18.25153374,5.214723926,652,76.53374233,27.38446627,5.214723926
131.65,132.64499999999998,1.0800000000000125,4.1394006096649125,17.088009021703417,Health,Buy,17.96042618,5.02283105,657,77.01674277,27.57635915,5.02283105
132.4,133.04,0.9499999999999886,2.5043102853431987,12.5361503949425,Health,Buy,18.06358382,6.502890173,692,75.43352601,26.09630003,6.502890173
132.89,133.11,0.7700000000000102,1.4636339251739687,14.78300450713407,Health,Buy,21.28463476,5.793450882,794,72.92191436,26.80573933,5.793450882
133.0,133.555,0.6450000000000102,1.93227555603636,8.821120001463967,Health,Buy,25.13020833,7.552083333,768,67.31770833,25.13020833,7.635184798
133.66,133.73000000000002,1.210000000000008,1.717303718436902,13.994195279016113,Health,Keep,14.89361702,4.964539007,705,80.14184397,27.63465119,4.964539007
133.56,135.765,2.710000000000008,2.398898657333043,19.19074124284694,Health,Keep,22.05882353,3.921568627,612,74.01960784,28.67762158,3.921568627
134.88,136.585,1.5,4.123286614158628,19.515425341120075,Health,Buy,23.31210191,4.585987261,785,72.10191083,28.01320294,4.585987261
136.34,136.515,1.079999999999984,2.7455391488560204,18.063580212831027,Health,Buy,24.33510638,6.117021277,752,69.54787234,26.48216892,6.117021277
136.6,136.285,1.7199999999999989,2.7213862233201316,15.60664808666595,Health,Buy,18.95306859,3.068592058,554,77.97833935,29.53059815,3.068592058
136.45,139.23,4.060000000000002,4.786369194098179,12.913833189953642,Health,Buy,20.76502732,4.098360656,732,75.13661202,28.50082955,4.098360656
137.67,140.735,1.5100000000000193,0.5896287085418837,6.54775547626201,Health,Buy,26.26527051,4.712041885,1146,69.02268761,27.88714833,4.712041885
140.79,141.375,2.444999999999993,3.6362155864043584,17.243021989125594,Health,Buy,16.40316206,2.56916996,1012,81.02766798,30.03002025,2.56916996
140.71,142.39,1.789999999999992,3.3414014282159346,17.46817062942601,Health,Buy,20.37037037,4.62962963,864,75.0,27.96956058,4.62962963
142.38,142.875,2.271300000000025,1.7288962093319842,18.593791502729495,Health,Buy,22.1822542,4.676258993,834,73.14148681,27.92293122,4.676258993
142.13,142.51,2.4499999999999886,1.9540793133242398,19.412864482877268,Health,Buy,22.99012694,3.102961918,709,73.90691114,29.49622829,3.102961918
143.38,141.79,2.2706000000000017,3.703379453475762,7.749983699999091,Health,Buy,21.64383562,4.383561644,730,73.97260274,28.21562857,4.383561644
141.16,142.16,2.3700000000000045,1.0887841529324973,15.901007310691627,Health,Buy,23.58757062,3.531073446,708,72.88135593,29.06811676,3.531073446
142.51,141.39,2.5,2.8254196048893743,8.544510456869334,Health,Buy,18.1425486,4.75161987,463,77.10583153,27.84757034,4.75161987
141.0,140.54000000000002,1.8900000000000148,3.1395721599862725,8.96001284079311,Health,Buy,26.61691542,3.980099502,402,69.40298507,28.6190907,3.980099502
141.08,139.715,1.2800000000000011,4.039255561669726,19.778417894018553,Health,Buy,24.12060302,5.695142379,597,70.18425461,26.90404783,5.695142379
140.02,139.905,1.25,4.097274951040706,9.302145370702206,Health,Buy,16.71511628,6.25,688,77.03488372,26.3491902,6.25
139.83,140.02,1.1799999999999784,3.381953364407277,8.157198782898769,Health,Keep,29.4198895,3.591160221,724,66.98895028,29.4198895,4.003019736
140.11,139.905,1.0999999999999943,1.8497752375870553,14.133706241600054,Health,Buy,22.58064516,8.467741935,744,68.9516129,24.13144827,8.467741935
139.73,139.885,0.7700000000000102,4.81640532307858,15.464954562849913,Health,Buy,21.59763314,7.544378698,676,70.85798817,25.05481151,7.544378698
140.01,139.925,1.240000000000009,0.5412765566212829,14.049625869232033,Health,Buy,18.86227545,4.041916168,668,77.09580838,28.55727403,4.041916168
140.08,140.60500000000002,1.6099999999999852,1.1193369292752657,18.64027759506654,Health,Keep,24.00548697,9.327846365,729,66.66666667,24.00548697,10.06198949
140.86,139.845,1.5199999999999818,1.6782513101740668,8.082880818848643,Health,Buy,26.41791045,10.14925373,670,63.43283582,26.41791045,14.11722771
140.13,139.385,1.6000000000000227,2.778677361714063,5.899363429452714,Health,Buy,19.1626409,10.62801932,621,70.20933977,21.97117088,10.62801932
139.01,139.53,1.3643000000000143,1.1700915637801947,6.758728054673053,Health,Buy,24.56608812,10.41388518,749,65.0200267,24.56608812,12.79466827
139.57,139.165,1.0800000000000125,0.8498479440431745,12.63110613056407,Health,Buy,22.5,9.761904762,840,67.73809524,22.83728545,9.761904762
139.23,139.14499999999998,1.0400000000000205,1.8796272554694378,16.51964160601184,Health,Buy,20.0,7.830188679,1060,72.16981132,24.76900152,7.830188679
139.42,138.15,0.9700000000000273,1.6554521466297476,8.41458393502563,Health,Buy,22.57398486,8.189951824,1453,69.23606332,24.40923839,8.189951824
138.3,138.04000000000002,0.8199999999999932,4.239992576404146,8.189324500941439,Health,Buy,18.0952381,9.047619048,1050,72.85714286,23.55157117,9.047619048
138.15,138.39499999999998,1.0699999999999932,4.653015493080522,8.364644918544725,Health,Buy,21.88481675,9.738219895,955,68.37696335,22.8609703,9.738219895
138.45,137.79500000000002,1.7800000000000011,1.9031693297847254,15.67263523814749,Health,Buy,25.0,11.73913043,920,63.26086957,25.0,15.87907066
138.3,137.755,1.0699999999999932,1.5320368136491194,10.127901772161298,Health,Buy,27.36196319,9.570552147,815,63.06748466,27.36196319,13.90387728
137.5,137.805,0.8300000000000125,3.4812261757333602,8.351445960302263,Health,Buy,22.62382865,22.08835341,747,55.28781794,22.62382865,34.20134527
