Current Value of Stock,Expected Value of Stock,Error in expected value of stock,Percentage of portfolio,Percentage of sector,Sector of stock,Buy/Sell/Keep,Positive,Negative,Neutral,Total,Neutral_Pos,Neutral_Neg
27.94,28.455,0.4250000000000007,1.3671132185840764,13.463513910602993,Telecommunications,Sell,23.07692308,7.692307692,39,69.23076923,29.51007326,7.692307692
28.37,28.615000000000002,0.4250000000000007,1.8314123070445998,8.964524039981736,Telecommunications,Sell,11.11111111,16.66666667,36,72.22222222,20.53571428,16.66666667
28.54,28.575,0.4399999999999977,3.6799098170173705,17.32757881827413,Telecommunications,Sell,27.27272727,6.060606061,33,66.66666667,31.14177489,6.060606061
28.7,28.425,0.2749999999999986,4.409391751456088,13.758120544534163,Telecommunications,Sell,19.48051948,5.194805195,77,75.32467532,32.00757575,5.194805195
28.42,27.84,1.1649999999999991,4.166761818348013,7.975959403508197,Telecommunications,Sell,29.09090909,14.54545455,55,56.36363636,29.09090909,20.97943724
28.36,27.354999999999997,0.370000000000001,2.163202029668374,7.780390420785238,Telecommunications,Sell,44.61538462,1.538461538,65,53.84615385,44.61538462,10.48992674
27.4,26.93,0.7399999999999984,4.363945804074954,17.658316359877354,Telecommunications,Buy,35.8490566,3.773584906,53,60.37735849,35.8490566,6.193845466
27.0,25.595,1.620000000000001,4.061031881824335,17.811619242078535,Telecommunications,Keep,37.42331288,10.42944785,163,52.14723926,37.42331288,21.07982764
25.72,25.625,0.7300000000000004,4.80268513702607,19.595609746437333,Telecommunications,Sell,25.78947368,12.63157895,190,61.57894737,25.78947368,13.85025063
25.43,25.895,0.4490000000000016,1.3301379861037042,5.085021666672225,Telecommunications,Sell,30.86419753,1.234567901,81,67.90123457,35.96781305,1.234567901
25.75,26.055,0.19000000000000128,0.5742877294320459,8.828565662932618,Telecommunications,Sell,18.0,6.0,50,76.0,31.20238095,6.0
26.0,26.1,0.1999999999999993,2.8654895208910167,14.722641405845215,Telecommunications,Sell,42.25352113,4.225352113,71,53.52112676,42.25352113,13.5018444
26.12,25.875,0.3000000000000007,3.153757121512266,6.757113266734841,Telecommunications,Sell,32.53012048,25.30120482,83,42.1686747,32.53012048,45.93014917
25.93,26.045,0.19500000000000028,2.7543343143671932,15.298922063883174,Telecommunications,Sell,35.41666667,13.54166667,96,51.04166667,35.41666667,25.29761905
26.06,25.94,0.41499999999999915,4.346019218508225,5.660894409020772,Telecommunications,Sell,16.66666667,8.771929825,114,74.56140351,28.43045113,8.771929825
26.12,25.985,0.4400000000000013,3.941597338734585,12.700126965022623,Telecommunications,Keep,33.67346939,8.163265306,98,58.16326531,33.67346939,12.79761905
25.81,24.314999999999998,1.2300000000000004,3.672267459856857,7.24461995101233,Telecommunications,Sell,29.7752809,10.11235955,178,60.11235955,29.7752809,12.79761905
24.07,24.71,0.4299999999999997,1.226359448335156,9.802493091899102,Telecommunications,Sell,29.218107,9.87654321,243,60.90534979,29.218107,11.76881247
24.56,25.07,0.5,2.6025346789196,17.600006411064726,Telecommunications,Keep,26.17449664,2.684563758,149,71.1409396,34.51781719,2.684563758
24.94,25.065,0.5,1.4086400529271337,7.7593288050400195,Telecommunications,Sell,26.08695652,20.65217391,92,53.26086957,26.08695652,30.18892339
25.21,24.875,0.375,2.9331474348695203,18.25041594709771,Telecommunications,Sell,26.41509434,13.20754717,53,60.37735849,26.41509434,15.62780773
24.92,24.93,0.48999999999999844,3.378445056967452,11.691488659224174,Telecommunications,Sell,22.58064516,9.677419355,62,67.74193548,27.52496159,9.677419355
25.0,24.595,0.4499999999999993,4.699851246825388,7.455936740931611,Telecommunications,Sell,39.47368421,2.631578947,38,57.89473684,39.47368421,7.534461157
24.79,24.525,0.33999999999999986,4.584421828703164,12.103311851695604,Telecommunications,Sell,18.0952381,5.714285714,105,76.19047619,31.48809524,5.714285714
24.5,24.604999999999997,0.4399999999999977,2.493957335164501,19.317231110371733,Telecommunications,Sell,24.41860465,6.976744186,86,68.60465116,30.22563676,6.976744186
24.47,24.615000000000002,0.35999999999999943,2.706583582757199,19.135733299758364,Telecommunications,Keep,31.41025641,10.25641026,156,58.33333333,31.41025641,14.72069598
24.73,24.97,0.9199999999999982,2.480167841103557,5.2473270052064525,Telecommunications,Sell,25.58139535,11.62790698,43,62.79069767,25.58139535,11.63482836
24.59,25.05,0.4400000000000013,4.709923382321762,8.223611493135401,Telecommunications,Sell,30.10752688,15.05376344,93,54.83870968,30.10752688,23.01267281
25.1,25.125,0.6310000000000002,2.034742799765253,12.028648519448495,Telecommunications,Keep,28.40909091,6.818181818,88,64.77272727,30.38419913,6.818181818
24.89,25.89,1.3400000000000034,4.740827194362511,10.590130174011883,Telecommunications,Sell,25.51020408,14.28571429,98,60.20408163,25.51020408,16.87925171
25.35,26.105,1.0100000000000016,2.288126398105569,5.549886206944684,Telecommunications,Sell,42.15686275,5.882352941,102,51.96078431,42.15686275,16.71918768
26.26,26.16,0.41000000000000014,2.3047179089594083,18.2568572403764,Telecommunications,Sell,30.6122449,11.2244898,98,58.16326531,30.6122449,15.85884354
26.13,26.215,0.4200000000000017,3.547606231158457,12.925879829398278,Telecommunications,Sell,20.0,20.0,30,60.0,20.0,22.79761905
26.13,26.509999999999998,1.0799999999999983,3.048277518012478,11.408307201480381,Telecommunications,Sell,21.05263158,10.52631579,38,68.42105263,26.67606516,10.52631579
26.05,27.09,0.490000000000002,4.72772507318811,11.01943371794712,Telecommunications,Sell,24.3902439,19.51219512,41,56.09756098,24.3902439,26.21225319
27.2,27.055,0.4450000000000003,3.5307751400449363,7.064722073978932,Telecommunications,Sell,51.28205128,5.128205128,39,43.58974359,51.28205128,24.33608059
27.1,27.175,0.5300000000000011,3.1168644169905177,6.012533795846249,Telecommunications,Sell,37.5,7.5,40,55.0,37.5,15.29761905
27.01,27.42,0.5299999999999976,2.5524868071528903,19.46191601532518,Telecommunications,Sell,43.24324324,10.81081081,37,45.94594595,43.24324324,27.66248391
27.46,27.795,0.9399999999999977,3.9055547111901556,7.112350612887966,Telecommunications,Keep,23.25581395,11.62790698,43,65.11627907,25.57447397,11.62790698
27.4,28.93,1.7499000000000002,1.2155328294782382,10.273690853115632,Telecommunications,Sell,35.55555556,4.444444444,45,60.0,35.55555556,7.242063494
28.25,27.405,1.6799999999999997,0.5325767968803711,15.446866281882444,Telecommunications,Sell,27.2517321,10.85450346,433,61.89376443,27.2517321,11.75835808
27.05,28.075,1.4299999999999997,3.620148310883501,10.928678359349243,Telecommunications,Sell,26.84085511,12.58907363,421,60.57007126,26.84085511,14.81662142
27.77,28.215,0.5799999999999983,0.5724170083624192,16.569592734466823,Telecommunications,Sell,34.54545455,15.45454545,110,50.0,34.54545455,28.2521645
28.47,27.88,0.6799999999999997,2.3646464918250016,11.461256703531161,Telecommunications,Sell,23.80952381,14.28571429,63,61.9047619,23.80952381,15.17857144
28.15,27.82,0.490000000000002,3.8536440431395556,8.954361384885946,Telecommunications,Sell,16.66666667,4.761904762,42,78.57142857,32.44047619,4.761904762
27.68,28.21,0.5,0.9493272223111371,5.045403245700079,Telecommunications,Buy,37.25490196,11.76470588,51,50.98039216,37.25490196,23.58193277
28.0,28.395,0.370000000000001,3.9171033927913905,10.922234912031456,Telecommunications,Sell,38.46153846,7.692307692,39,53.84615385,38.46153846,16.64377289
28.41,28.425,0.26000000000000156,4.0925441070182345,9.630422203947429,Telecommunications,Sell,15.38461538,12.82051282,39,71.79487179,24.38186812,12.82051282
28.46,28.675,1.2149999999999999,4.496332797440565,19.122134887402083,Telecommunications,Sell,8.888888889,6.666666667,45,84.44444444,30.53571428,6.666666667
28.43,29.055,0.9500000000000028,3.9623618638731926,9.891705382707368,Telecommunications,Keep,39.7260274,5.479452055,73,54.79452055,39.7260274,13.48255055
29.0,28.865000000000002,0.3100000000000023,2.89114224084463,17.15922305464536,Telecommunications,Sell,34.88372093,6.976744186,43,58.13953488,34.88372093,11.63482836
28.93,28.625,0.629999999999999,3.0970400831618754,5.838236579521363,Telecommunications,Sell,15.38461538,10.25641026,39,74.35897436,26.94597069,10.25641026
28.85,28.69,0.5749999999999993,2.3429859356582945,11.283886116703162,Telecommunications,Sell,26.92307692,7.692307692,52,65.38461538,29.51007325,7.692307692
28.78,28.41,0.490000000000002,4.059909072114362,17.78588477821905,Telecommunications,Sell,27.77777778,5.555555556,36,66.66666667,31.6468254,5.555555556
28.38,28.445,0.4299999999999997,3.6612120431739354,17.528827357219402,Telecommunications,Sell,28.57142857,14.28571429,21,57.14285714,28.57142857,19.9404762
28.39,28.6,0.4299999999999997,2.281166006851034,12.300556499581694,Telecommunications,Sell,25.80645161,3.225806452,31,70.96774194,33.9765745,3.225806452
28.52,28.759999999999998,0.28000000000000114,0.7092737041679694,16.495880726024993,Telecommunications,Sell,22.22222222,11.11111111,18,66.66666667,26.09126984,11.11111111
28.66,28.82,0.3099999999999987,2.17489523160745,11.953132254380066,Telecommunications,Sell,33.33333333,0.0,21,66.66666667,37.20238095,0.0
28.78,28.84,0.3099999999999987,1.428472803170765,7.092880633498114,Telecommunications,Keep,15.15151515,24.24242424,33,60.60606061,15.15151515,26.43398268
28.8,28.975,0.5450000000000017,4.89086827791857,16.71073155641595,Telecommunications,Sell,14.81481481,7.407407407,27,77.77777778,29.79497354,7.407407407
29.08,28.65,0.4350000000000023,1.9306361485438683,18.697618588667808,Telecommunications,Sell,34.375,3.125,32,62.5,34.375,3.42261905
28.8,28.715,0.3200000000000003,4.955781125194919,16.269029276597983,Telecommunications,Sell,20.0,13.33333333,15,66.66666667,23.86904762,13.33333333
