Current Value of Stock,Expected Value of Stock,Error in expected value of stock,Percentage of portfolio,Percentage of sector,Sector of stock,Buy/Sell/Keep,Positive,Negative,Neutral,Total,Neutral_Pos,Neutral_Neg
74.71,74.465,0.6850000000000023,2.2935158906799282,8.124612019516494,IT,Buy,36.96236559,11.96236559,744,51.07526882,40.82504764,11.96236559
74.67,74.345,1.0100000000000051,0.7126447303887958,18.539153981221325,IT,Buy,39.88919668,10.38781163,722,49.72299169,42.3996016,10.38781163
74.0,75.595,1.1600000000000108,2.3971913255118364,8.822657064543627,IT,Buy,40.84302326,9.88372093,688,49.27325581,42.9036923,9.88372093
75.22,75.83500000000001,0.4899999999999949,4.083279043240585,7.400816412883936,IT,Buy,42.51893939,8.049242424,1056,49.43181818,44.7381708,8.049242424
75.67,76.13,0.6899999999999977,1.7897879696148329,19.917746896109463,IT,Buy,41.78321678,9.965034965,572,48.25174825,42.82237826,9.965034965
75.97,76.31,0.4899999999999949,1.4400557830675202,6.180611635090639,IT,Buy,31.93779904,21.53110048,836,46.53110048,31.93779904,22.21258677
76.33,76.39,0.5099999999999909,0.5186171866129847,10.255103755774593,IT,Buy,43.92265193,13.39779006,724,42.67955801,43.92265193,17.93081882
76.36,76.805,0.9200000000000017,1.9039932158820194,11.82602962886342,IT,Buy,46.26038781,9.972299169,722,43.76731302,46.26038781,13.41757292
76.49,77.53999999999999,0.5799999999999983,4.609466498615502,13.928516829981831,IT,Buy,41.68865435,9.366754617,758,48.94459103,43.42065861,9.366754617
77.59,77.535,0.46000000000000796,4.583122911365765,12.601673249865742,IT,Buy,39.2033543,9.433962264,477,51.36268344,43.35345097,9.433962264
77.42,77.53,0.37000000000000455,3.2385661958709617,15.45612538114991,IT,Sell,35.61643836,8.592777086,803,55.79078456,44.19463615,8.592777086
77.47,77.64,0.47999999999998977,2.4648457491637457,13.111508958536927,IT,Buy,49.33494559,7.134220073,827,43.53083434,49.33494559,10.8159725
77.67,77.74,0.5800000000000125,0.9257936985394114,11.953950223927631,IT,Sell,38.88149134,7.323568575,751,53.79494008,45.46384465,7.323568575
77.57,78.565,0.75,2.2065170081306595,16.550337642025227,IT,Sell,37.60932945,10.93294461,686,51.45772595,41.85446863,10.93294461
78.32,78.91,0.5799999999999983,0.6292281975770464,6.72841193999069,IT,Buy,39.15022762,10.92564492,659,49.92412747,41.86176832,10.92564492
78.99,78.88,0.7400000000000091,4.988398310126164,10.990980516763218,IT,Buy,35.59950556,7.787391842,809,56.6131026,45.00002139,7.787391842
78.9,78.60499999999999,1.0899999999999892,0.7915562899435725,16.72033922242463,IT,Buy,32.38341969,13.86010363,772,53.75647668,38.9273096,13.86010363
