Current Value of Stock,Expected Value of Stock,Error in expected value of stock,Percentage of portfolio,Percentage of sector,Sector of stock,Buy/Sell/Keep,Positive,Negative,Neutral,Total,Neutral_Pos,Neutral_Neg
48.72,48.82,0.4200000000000017,4.407649833469037,7.914589528265553,IT,Sell,33.22147651,8.724832215,298,58.05369128,33.22147651,10.12770919
48.95,48.945,0.4299999999999997,3.0967294424035128,5.767322128360451,IT,Sell,31.44654088,9.433962264,159,59.11949686,31.44654088,9.771033654
48.99,48.935,0.5300000000000011,2.4019915532400695,9.971804828822538,IT,Sell,51.17647059,5.294117647,170,43.52941176,51.17647059,21.22127414
48.96,48.519999999999996,0.480000000000004,0.8862772715913791,11.633695290579903,IT,Sell,38.0,10.5,200,51.5,38.0,18.45656825
48.64,48.36,0.4099999999999966,3.594102922768612,7.216306036309884,IT,Sell,22.03389831,9.322033898,118,68.6440678,31.22139786,9.322033898
48.36,48.185,0.46000000000000085,1.2494535634876676,19.137146415597897,IT,Sell,24.13793103,9.195402299,87,66.66666667,31.34802945,9.195402299
48.16,48.22,0.3100000000000023,4.797747717178479,9.0242596105914,IT,Buy,28.57142857,8.163265306,49,63.26530612,32.38016644,8.163265306
48.16,48.25,0.36999999999999744,2.846799062640342,17.88366527900773,IT,Sell,36.95652174,6.52173913,46,56.52173913,36.95652174,9.45656825
48.27,48.489999999999995,0.38000000000000256,4.429897183537879,19.490303729243802,IT,Sell,32.0,4.0,50,64.0,36.54343175,4.0
48.37,48.735,0.4199999999999946,0.5449800141140952,19.346676347721782,IT,Keep,27.45098039,7.843137255,51,64.70588235,32.70029449,7.843137255
48.61,49.004999999999995,0.5899999999999963,0.7941490660342894,6.0116366337651455,IT,Sell,16.92307692,4.615384615,65,78.46153846,35.92804713,4.615384615
48.82,49.54,0.6000000000000014,4.106746307503358,18.346309292826586,IT,Sell,26.66666667,5.333333333,75,68.0,35.21009842,5.333333333
49.5,49.394999999999996,0.480000000000004,4.184489385454213,17.426936500169617,IT,Sell,27.84810127,7.594936709,79,64.55696203,32.94849505,7.594936709
49.44,49.394999999999996,0.6300000000000026,1.2953074856062148,17.82537163190716,IT,Sell,27.39726027,6.849315068,73,65.75342466,33.69411668,6.849315068
49.54,49.295,0.4399999999999977,1.533457352189961,8.867321990076665,IT,Sell,26.58227848,7.594936709,79,65.82278481,32.94849504,7.594936709
49.28,49.655,0.8900000000000006,3.980028221753006,12.948476336015624,IT,Buy,18.60465116,9.302325581,86,72.09302326,31.24110617,9.302325581
49.33,49.7975,1.009999999999998,4.786489707278697,8.895380000365765,IT,Sell,29.11392405,10.12658228,79,60.75949367,30.41684947,10.12658228
49.89,50.129999999999995,0.529999999999994,2.669767275280379,19.60929956346265,IT,Buy,29.89690722,6.18556701,97,63.91752577,34.35786474,6.18556701
50.11,50.585,0.9399999999999977,2.3235709425887876,6.314905946942923,IT,Keep,24.65753425,16.43835616,73,58.90410959,24.65753425,16.99081482
50.29,50.655,0.5150000000000006,1.900930193184587,13.162969395302042,IT,Sell,26.25,6.25,80,67.5,34.29343175,6.25
50.63,50.815,0.8299999999999983,2.631579426166894,10.208912715774218,IT,Sell,34.48275862,3.448275862,58,62.06896552,37.09515589,3.448275862
50.73,50.870000000000005,0.6000000000000014,2.475966188560453,10.436909825543918,IT,Keep,28.37837838,8.108108108,74,63.51351351,32.43532364,8.108108108
51.1,50.41,0.5800000000000054,3.4437515906021434,14.085666777606601,IT,Keep,27.27272727,9.090909091,55,63.63636364,31.45252266,9.090909091
50.54,50.269999999999996,0.28000000000000114,4.334493155309284,13.870916313128092,IT,Sell,18.51851852,5.555555556,54,75.92592593,34.9878762,5.555555556
50.36,50.25,0.5275999999999996,4.784519001360091,15.57722976750257,IT,Sell,25.71428571,7.142857143,70,67.14285714,33.4005746,7.142857143
50.1,50.46,0.5,1.3912001959342164,5.90302015821391,IT,Sell,25.37313433,8.955223881,67,65.67164179,31.58820787,8.955223881
50.43,49.69,1.6799999999999997,1.02330741836908,15.85898994588447,IT,Sell,24.19354839,14.51612903,62,61.29032258,26.02730272,14.51612903
50.14,49.16,0.625,4.890724151345156,11.924875160684284,IT,Sell,24.67532468,6.493506494,77,68.83116883,34.04992526,6.493506494
49.0,49.25,0.375,0.7045604846166045,16.602121426861636,IT,Sell,24.24242424,16.66666667,66,59.09090909,24.24242424,17.03232583
49.1,49.260000000000005,0.4299999999999997,1.3917932914571347,6.062051225589465,IT,Sell,26.88172043,3.225806452,93,69.89247312,37.3176253,3.225806452
49.32,48.85,0.34500000000000597,3.921240320482818,6.959907638551624,IT,Sell,32.14285714,7.142857143,56,60.71428571,33.4005746,7.142857143
48.88,49.155,0.6099999999999994,1.0247310717023348,10.947925297067798,IT,Sell,31.14754098,9.836065574,61,59.01639344,31.14754098,10.27624038
49.11,48.97,0.37999999999999545,1.1003247055735812,12.986132476551784,IT,Sell,36.25,17.5,80,46.25,36.25,30.70656825
49.0,49.03,0.23999999999999488,4.862986702441142,12.806976478536981,IT,Sell,26.92307692,3.846153846,52,69.23076923,36.6972779,3.846153846
49.04,48.815,0.6000000000000014,0.6392332807848691,17.95889004180221,IT,Sell,32.89473684,13.15789474,76,53.94736842,32.89473684,18.66709457
49.0,48.57,0.4099999999999966,4.056676780513209,13.04962954244219,IT,Sell,36.36363636,7.954545455,88,55.68181818,36.36363636,11.72929553
48.56,48.945,0.44000000000000483,4.912447740535369,15.758114184772348,IT,Sell,21.21212121,4.545454545,66,74.24242424,35.9979772,4.545454545
48.88,48.91,0.46999999999999886,0.6830353837201053,11.243051411605194,IT,Sell,26.98412698,1.587301587,63,71.42857143,38.95613016,1.587301587
48.94,48.945,0.3500000000000014,0.9203616795862246,8.020446214708635,IT,Sell,20.3125,20.3125,64,59.375,20.3125,20.39406825
48.88,48.685,0.6599999999999966,1.7526027151285897,10.489208124112928,IT,Sell,32.8358209,5.970149254,67,61.19402985,34.5732825,5.970149254
48.85,48.975,0.4399999999999977,2.775664339287603,15.689922822404553,IT,Sell,46.72897196,13.08411215,107,40.18691589,46.72897196,32.35376451
48.89,49.33,1.1000000000000014,4.622103251256412,11.894864425085624,IT,Sell,23.52941176,7.352941176,68,69.11764706,33.19049057,7.352941176
49.05,49.11,1.4600000000000009,3.651571911187037,10.893514055683795,IT,Sell,20.58823529,14.70588235,68,64.70588235,25.83754939,14.70588235
49.82,48.1,0.6849999999999952,4.03656278530032,17.222001315928942,IT,Sell,34.14634146,6.097560976,82,59.75609756,34.44587077,6.097560976
48.21,48.150000000000006,0.9549999999999983,3.683112336313511,11.242637088707255,IT,Sell,25.3968254,9.523809524,63,65.07936508,31.01962223,9.523809524
47.88,48.445,0.5100000000000051,1.3031911928003042,14.028693370922825,IT,Sell,18.26923077,10.57692308,104,71.15384615,29.96650867,10.57692308
48.37,49.25,0.9899999999999949,4.767844642065331,8.99340034033164,IT,Keep,23.86363636,5.681818182,88,70.45454545,34.86161356,5.681818182
48.9,50.04,0.9399999999999977,3.3864317277570297,15.017889899324823,IT,Sell,23.27586207,4.310344828,116,72.4137931,36.23308692,4.310344828
49.61,50.195,0.759999999999998,3.0785777383736708,11.173818792456728,IT,Sell,23.35329341,8.982035928,167,67.66467066,31.56139582,8.982035928
50.0,50.19,0.5,2.849005099905607,10.990098607819405,IT,Sell,33.63636364,4.545454545,110,61.81818182,35.99797721,4.545454545
50.33,50.195,0.46000000000000085,1.5762027007638375,15.77607037970909,IT,Sell,30.92783505,9.278350515,97,59.79381443,31.26508123,9.278350515
50.2,48.3225,1.4799999999999969,4.63064420524025,8.707556247796514,IT,Buy,35.15789474,9.894736842,475,54.94736842,35.15789474,14.40393667
48.345,48.120000000000005,1.1700000000000017,2.53917580316458,16.30491834790674,IT,Sell,37.1559633,8.562691131,654,54.28134557,37.1559633,13.73791381
48.53,47.9025,0.6099999999999994,4.483473901578275,6.319086429203377,IT,Sell,21.77777778,7.111111111,225,71.11111111,33.43232064,7.111111111
47.985,47.94,0.259999999999998,3.2641023470898536,5.762168564604583,IT,Sell,24.75247525,15.84158416,101,59.40594059,24.75247525,15.89221182
47.98,47.68,0.8800000000000026,3.8780795524749774,12.04728663374128,IT,Buy,21.68674699,9.638554217,83,68.6746988,30.90487754,9.638554217
48.08,47.295,0.3049999999999997,2.0606144686279606,19.23328916283252,IT,Sell,17.97752809,6.741573034,89,75.28089888,33.80185872,6.741573034
47.23,47.4,0.3299999999999983,3.349741857554596,10.540385013634399,IT,Sell,20.0,13.84615385,65,66.15384615,26.6972779,13.84615385
47.37,47.315,0.3200000000000003,1.5299517272545438,5.7333596195874,IT,Sell,16.0,14.0,50,70.0,26.54343175,14.0
47.25,47.41,0.25,2.6903130019466874,19.914965727471923,IT,Sell,18.57142857,10.0,70,71.42857143,30.54343175,10.0
47.3,47.405,0.6000000000000014,1.7521318747410364,12.537432752422848,IT,Sell,15.78947368,3.50877193,57,80.70175439,37.03465982,3.50877193
47.53,47.1,1.6310999999999964,4.288820266305266,18.382660838279868,IT,Sell,21.12676056,2.816901408,71,76.05633803,37.72653034,2.816901408
47.57,47.620000000000005,0.6300000000000026,1.2349743562914148,14.455397055839951,IT,Sell,19.73684211,9.868421053,152,70.39473684,30.6750107,9.868421053
47.53,48.085,0.4749999999999943,1.984672783664093,13.72074768390353,IT,Sell,37.76223776,6.293706294,143,55.94405594,37.76223776,9.806218604
47.99,48.445,0.3500000000000014,2.3894323288866977,5.128600687164001,IT,Sell,23.28767123,10.95890411,73,65.75342466,29.58452764,10.95890411
48.42,48.64,1.1300000000000026,2.2203679513568875,17.99484741853297,IT,Sell,33.01886792,6.603773585,106,60.37735849,33.93965816,6.603773585
48.3,49.155,0.4399999999999977,1.7000825867785916,13.257384801090438,IT,Sell,31.34328358,8.955223881,67,59.70149254,31.58820787,8.955223881
49.25,48.83,0.6900000000000048,1.178467573832994,19.147428515541737,IT,Sell,25.0,10.52631579,76,64.47368421,30.01711596,10.52631579
48.86,48.91,0.5800000000000054,4.694480175768177,9.587222323578118,IT,Sell,23.52941176,8.823529412,68,67.64705882,31.71990233,8.823529412
48.87,49.345,0.7650000000000006,1.372412471814544,5.600011384690784,IT,Buy,28.57142857,7.142857143,56,64.28571429,33.40057461,7.142857143
