Current Value of Stock,Expected Value of Stock,Error in expected value of stock,Percentage of portfolio,Percentage of sector,Sector of stock,Buy/Sell/Keep,Positive,Negative,Neutral,Total,Neutral_Pos,Neutral_Neg
35.67,36.08,0.45000000000000284,3.945901206811947,14.36020240426593,Health,Keep,29.54545455,5.0,220,65.45454545,30.03807367,5.0
36.02,36.07,0.3400000000000034,4.515854030444777,13.053978670110535,Health,Sell,26.5060241,9.036144578,166,64.45783133,26.5060241,9.540239573
36.18,35.94,0.25,4.839511717961978,6.943534829792889,Health,Sell,22.42647059,3.308823529,272,74.26470588,31.72925014,3.308823529
35.88,36.019999999999996,0.20000000000000284,0.6359341045456746,18.125752283843205,Health,Keep,28.66242038,7.643312102,157,63.69426752,28.66242038,8.910970907
35.99,36.1,0.21999999999999886,3.206367765900969,6.64378794347634,Health,Sell,28.45528455,4.87804878,123,66.66666667,30.16002489,4.87804878
36.06,36.39,0.4799999999999969,4.105552024624414,5.090830879648472,Health,Sell,17.28395062,4.938271605,162,77.77777778,30.09980207,4.938271605
36.38,36.41,0.27999999999999403,1.0620532699271845,15.180976814407535,Health,Keep,35.38812785,4.337899543,438,60.2739726,35.38812785,9.025853268
36.37,36.415,0.3200000000000003,3.8069761494862138,12.84570844824011,Health,Sell,35.13513514,4.504504505,222,60.36036036,35.13513514,9.10607047
36.48,36.355000000000004,0.23560000000000514,0.5088107416671079,18.36295535774758,Health,Sell,24.85875706,5.084745763,177,70.05649718,29.95332791,5.084745763
36.37,36.165,0.5999999999999943,1.850117832676138,6.485513261640965,Health,Sell,25.12315271,4.433497537,203,70.44334975,30.60457613,4.433497537
36.35,36.065,0.5799999999999983,4.466687858298551,11.94173329737793,Health,Sell,27.31958763,4.12371134,194,68.55670103,30.91436233,4.12371134
35.93,36.04,0.5,4.904590324328095,5.62632185649564,Health,Sell,28.44827586,1.724137931,232,69.82758621,33.31393574,1.724137931
36.25,36.065,0.5399999999999991,3.515583376318976,18.61341020245054,Health,Sell,22.37442922,3.652968037,219,73.97260274,31.38510563,3.652968037
35.89,36.36,0.39000000000000057,2.6745992445004525,14.120706265199352,Health,Sell,28.5046729,4.205607477,214,67.28971963,30.8324662,4.205607477
36.3,36.349999999999994,0.480000000000004,3.6593432711666263,10.274503952138687,Health,Sell,23.62204724,6.299212598,254,70.07874016,28.73886107,6.299212598
36.3,36.36,0.5399999999999991,2.522877636152736,7.835158351339462,Health,Sell,33.52601156,5.202312139,173,61.2716763,33.52601156,8.892562164
36.45,36.1875,0.4299999999999997,3.140452156313904,11.582266371573855,Health,Sell,26.11111111,6.111111111,180,67.77777778,28.92696256,6.111111111
36.2,35.915000000000006,0.615000000000002,4.170983026257745,13.822081150071313,Health,Sell,23.78854626,4.405286344,227,71.8061674,30.63278734,4.405286344
36.09,35.565,0.3500000000000014,0.6859362161589382,7.457315312690369,Health,Sell,20.80924855,3.468208092,173,75.72254335,31.56986557,3.468208092
35.53,35.29,0.44999999999999574,1.6516558315996348,16.923953057899954,Health,Sell,24.24242424,7.878787879,165,67.87878788,27.15928579,7.878787879
35.43,35.055,1.2350000000000065,3.1196368127312324,9.574230926046393,Health,Sell,32.45614035,5.701754386,228,61.84210526,32.45614035,8.821575451
35.05,35.135,0.8299999999999983,1.5149700103767931,12.084880074174553,Health,Sell,29.23728814,8.474576271,472,62.28813559,29.23728814,11.14836701
35.01,35.365,0.47579999999999956,4.243101294743822,11.39193467803901,Health,Buy,18.6440678,5.508474576,236,75.84745763,29.5295991,5.508474576
35.27,35.5,0.240000000000002,2.1349860524621223,14.039202534283358,Health,Sell,19.76744186,9.689922481,258,70.54263566,25.34815119,9.689922481
35.45,35.455,0.490000000000002,0.6826404885358517,10.163220866918174,Health,Buy,24.22680412,3.092783505,194,72.68041237,31.94529016,3.092783505
35.59,35.33,0.17999999999999972,4.042282091549694,14.39565278933721,Health,Sell,25.88832487,3.045685279,197,71.06598985,31.99238839,3.045685279
35.3,35.14,0.4099999999999966,2.88962302619716,8.854748373966043,Health,Sell,27.86069652,3.482587065,201,68.65671642,31.55548661,3.482587065
35.08,35.14,0.394999999999996,3.757846050894696,15.644054000907538,Health,Sell,26.59574468,4.255319149,188,69.14893617,30.78275452,4.255319149
35.1,35.26,0.3399999999999963,2.549612696768358,18.84861002244078,Health,Sell,28.37209302,3.255813953,215,68.37209302,31.78225971,3.255813953
35.22,35.315,0.47990000000000066,0.8292105599037003,17.055927641423928,Health,Buy,33.45454545,3.272727273,275,63.27272727,33.45454545,4.961926328
35.25,35.32,0.2700000000000031,0.9034507315085545,5.0170840140193915,Health,Buy,16.92913386,4.330708661,254,78.74015748,30.70736501,4.330708661
35.28,35.45,0.3299999999999983,3.693401115329203,16.72305830441298,Health,Sell,29.1005291,3.703703704,189,67.1957672,31.33436998,3.703703704
35.34,35.37,0.3200000000000003,0.577480149605452,12.288553239763882,Health,Sell,30.36437247,4.453441296,247,65.18218623,30.58463237,4.453441296
35.37,35.365,0.18500000000000227,3.535220283386084,19.738334808754175,Health,Sell,32.52427184,3.398058252,206,64.0776699,32.52427184,4.282314677
35.38,35.47,0.3499999999999943,3.0396855297954035,6.304079379482205,Health,Sell,32.41758242,2.747252747,182,64.83516484,32.41758242,2.874014232
