Current Value of Stock,Expected Value of Stock,Error in expected value of stock,Percentage of portfolio,Percentage of sector,Sector of stock,Buy/Sell/Keep,Positive,Negative,Neutral,Total,Neutral_Pos,Neutral_Neg
58.79,58.815,0.8000000000000043,3.291769686271678,17.785466939883886,Consumer Discretionary,Sell,26.86390533,9.349112426,845,63.78698225,34.0441713,9.349112426
59.05,58.67,0.4099999999999966,2.4151645398986568,6.911343882645102,Consumer Discretionary,Buy,29.26267281,9.447004608,868,61.29032258,33.94627911,9.447004608
58.68,58.535,0.5799999999999983,3.0097337829057946,16.533593553922294,Consumer Discretionary,Sell,30.02392344,9.090909091,836,60.88516746,34.30237462,9.090909091
58.69,57.33,0.9349999999999952,3.800891264872145,15.100381110767856,Consumer Discretionary,Sell,27.44034707,12.14750542,922,60.41214751,31.2457783,12.14750542
57.54,56.775,1.529999999999994,0.8094754532456551,14.636337201006762,Consumer Discretionary,Sell,30.672748,8.665906499,877,60.6613455,34.72737722,8.665906499
57.3,57.2,1.2700000000000031,1.7527685953611385,8.541587042093283,Consumer Discretionary,Keep,29.27888792,11.98957428,1151,58.73153779,31.40370943,11.98957428
56.8,58.47,1.9400000000000048,1.9668312966278283,6.910541336972265,Consumer Discretionary,Sell,32.48587571,8.945386064,1062,58.56873823,34.44789766,8.945386064
57.79,59.599999999999994,1.7049999999999983,3.970058768152576,19.087943781524142,Consumer Discretionary,Sell,31.25,10.87962963,864,57.87037037,32.51365409,10.87962963
59.01,60.55,1.6099999999999994,2.6950943941600336,11.774505281743348,Consumer Discretionary,Sell,29.11944202,9.677419355,1147,61.20313862,33.71586436,9.677419355
60.25,60.254999999999995,1.1799999999999997,3.657107998457675,15.499299512968774,Consumer Discretionary,Sell,30.67729084,12.05179283,1004,57.27091633,31.34149089,12.05179283
60.36,60.17,0.7000000000000028,2.6632641303324642,14.531292144550223,Consumer Discretionary,Sell,31.61512027,14.00343643,1164,54.3814433,31.61512027,16.22870942
60.17,60.1,0.5799999999999983,4.6619112939760985,8.86530041759682,Consumer Discretionary,Sell,32.19616205,9.914712154,938,57.8891258,33.47857156,9.914712154
60.17,60.129999999999995,0.9200000000000017,2.3670986288202664,11.107456839358811,Consumer Discretionary,Sell,30.8974359,10.76923077,780,58.33333333,32.62405295,10.76923077
59.83,61.22,1.259999999999998,1.4229112139506155,16.794247693973396,Consumer Discretionary,Keep,36.81818182,12.61363636,880,50.56818182,36.81818182,18.65217083
60.68,62.195,1.9600000000000009,0.8473691387611083,15.104227893191538,Consumer Discretionary,Sell,34.11042945,13.25153374,815,52.63803681,34.11042945,17.22021321
61.81,62.9,0.9400000000000048,4.138283001791181,10.65231896099513,Consumer Discretionary,Sell,34.7107438,9.917355372,1210,55.37190083,34.7107438,11.15217083
62.87,62.307500000000005,1.6000000000000014,1.8944323368154372,14.322257283944142,Consumer Discretionary,Buy,25.90909091,8.787878788,1320,65.3030303,34.60540492,8.787878788
62.74,62.055,1.0300000000000011,2.685735283233601,6.172996211039363,Consumer Discretionary,Keep,28.55871886,10.40925267,1124,61.03202847,32.98403105,10.40925267
62.1,60.855000000000004,1.7000000000000028,1.759573980522665,9.853033453531907,Consumer Discretionary,Sell,26.9441402,13.36254107,913,59.69331873,30.03074265,13.36254107
61.45,59.864999999999995,0.8950000000000031,1.2762984964289212,19.902474783024083,Consumer Discretionary,Sell,31.05882353,14.11764706,850,54.82352941,31.05882353,15.90083393
60.18,59.265,0.8500000000000014,2.5418392124687577,8.429333605718861,Consumer Discretionary,Sell,26.34508349,10.20408163,1078,63.45083488,33.18920209,10.20408163
59.49,58.83,0.8049999999999997,3.652322841495059,11.610724906757396,Consumer Discretionary,Sell,30.67846608,11.89773845,1017,57.42379548,31.49554528,11.89773845
58.8,59.465,1.3500000000000014,2.9091591230983056,8.16330183835933,Consumer Discretionary,Sell,28.77569258,13.13672922,1119,58.08757819,30.25655449,13.13672922
59.14,59.515,0.8299999999999983,1.5160921245399703,13.74316037900092,Consumer Discretionary,Sell,32.83730159,9.623015873,1008,57.53968254,33.77026785,9.623015873
59.67,59.295,0.6899999999999977,2.053672815972934,5.725886623575245,Consumer Discretionary,Sell,29.78959025,10.74197121,903,59.46843854,32.65131251,10.74197121
59.3,58.480000000000004,1.4500000000000028,1.7349718274374268,17.3666436192475,Consumer Discretionary,Sell,33.30241187,11.59554731,1078,55.10204082,33.30241187,13.10022277
59.07,58.78,2.960000000000001,4.583610023338963,15.931521089664619,Consumer Discretionary,Sell,28.6437247,12.95546559,988,58.40080972,30.43781813,12.95546559
57.66,60.655,1.5,2.2052849089447397,14.805631658894244,Consumer Discretionary,Sell,29.16235781,11.9958635,967,58.8417787,31.39742023,11.9958635
59.91,60.9,1.8000000000000043,1.6898895912956406,15.281286144647224,Consumer Discretionary,Sell,32.11233211,9.89010989,819,57.997558,33.50317383,9.89010989
61.4,59.84,1.1550000000000011,3.7958164968053447,13.966827204248952,Consumer Discretionary,Sell,28.05611222,10.32064128,998,61.62324649,33.07264243,10.32064128
59.59,55.209999999999994,3.8699999999999974,3.961510477414378,5.700126564692116,Consumer Discretionary,Keep,30.40201005,13.23283082,1194,56.36515913,30.40201005,13.47438797
56.26,54.805,1.1899999999999977,3.3005146346265057,19.50992139312254,Consumer Discretionary,Sell,36.72748676,16.12713361,1699,47.14537964,36.72748676,25.58847025
54.51,56.95,3.020000000000003,4.122570309674016,7.586167257427611,Consumer Discretionary,Sell,31.71996543,9.59377701,1157,58.68625756,33.79950671,9.59377701
55.76,57.925,1.1049000000000007,4.94649536969605,17.152841274257295,Consumer Discretionary,Sell,35.62130178,11.36094675,845,53.01775148,35.62130178,14.94991155
57.97,57.55,1.2800000000000011,3.6795596468802962,10.423159077866693,Consumer Discretionary,Sell,29.06077348,9.834254144,905,61.10497238,33.55902958,9.834254144
57.85,57.455,0.6899999999999977,1.8624763350990778,15.884140649474833,Consumer Discretionary,Sell,26.69902913,10.67961165,1030,62.62135922,32.71367207,10.67961165
57.42,56.965,2.3000000000000043,4.255145623745884,16.68035351272534,Consumer Discretionary,Sell,31.7233809,11.41602634,911,56.86059276,31.97725738,11.41602634
58.05,56.02,1.1400000000000006,1.8390623209309649,15.25072582257444,Consumer Discretionary,Sell,27.63295099,14.80709072,959,57.55995829,28.586193,14.80709072
56.2,56.32,1.3299999999999983,1.0773139720701175,8.21697196441794,Consumer Discretionary,Sell,31.6262354,12.30907457,1113,56.06469003,31.6262354,12.85110082
56.02,59.25,4.960000000000001,3.513903448401608,13.334968532439108,Consumer Discretionary,Sell,32.79631761,11.04718067,869,56.15650173,32.79631761,11.49739522
56.82,60.775,3.259999999999998,3.656590706902518,7.065836013970602,Consumer Discretionary,Sell,32.83464567,11.02362205,1270,56.14173228,32.83464567,11.48860605
61.65,59.754999999999995,1.5689999999999955,2.7524004236202706,15.31246999923016,Consumer Discretionary,Sell,33.1300813,10.16260163,984,56.70731707,33.23068209,10.16260163
60.0,61.605000000000004,2.490000000000002,4.266949170235201,8.07784416585912,Consumer Discretionary,Sell,34.95229835,12.05550737,1153,52.99219428,34.95229835,15.67002937
60.65,62.295,2.029999999999994,1.7674462568834157,8.125492324244465,Consumer Discretionary,Keep,32.25806452,9.677419355,837,58.06451613,33.71586437,9.677419355
62.39,61.41,1.730000000000004,1.7659954798676665,5.011524843644893,Consumer Discretionary,Sell,34.74860335,8.156424581,895,57.09497207,35.23685914,8.156424581
62.1,60.985,1.1599999999999966,4.488380551492829,14.898234522191016,Consumer Discretionary,Sell,26.70588235,11.29411765,850,62.0,32.09916607,11.29411765
60.88,61.235,1.1799999999999997,3.948510961514455,9.938674627836122,Consumer Discretionary,Sell,30.92324805,8.008898776,899,61.06785317,35.38438494,8.008898776
